fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
低风险,人民币,,,5.31 07:00,,乾元-共享型 2016-55理财产品,52天,非保本,建设银行,全国,3.60%,不可赎回,5万
中等风险,人民币,,,5.19 07:00,,乾元-私享型2016-52理财产品,127天,非保本,建设银行,全国,3.65%,不可赎回,10万
低风险,人民币,,,5.26 07:00,,乾元-共享型 2016-53理财产品,127天,非保本,建设银行,全国,3.70%,不可赎回,5万
低风险,人民币,,,5.25 07:00,,乾元-共享型 2016-52理财产品,92天,非保本,建设银行,全国,3.60%,不可赎回,5万
低风险,人民币,,,5.31 07:00,,乾元-共享型 2016-54理财产品,43天,非保本,建设银行,全国,3.60%,不可赎回,5万
中等风险,人民币,,,5.25 07:00,,乾元-私享型2016-54理财产品,78天,非保本,建设银行,全国,3.60%,不可赎回,10万
低风险,人民币,,,6.1 07:00,,乾元-共享型 2016-56理财产品,72天,非保本,建设银行,全国,3.60%,不可赎回,5万
低风险,人民币,,,6.2 07:00,,乾元-共享型 2016-57理财产品,113天,非保本,建设银行,全国,3.70%,不可赎回,5万
无风险,人民币,,,5.18 09:00,,乾元保本型人民币理财产品2016年第15期,59天,保本,建设银行,全国,3%,不可赎回,5万
中等风险,人民币,,,6.1 07:00,,乾元-私享型2016-56理财产品,65天,非保本,建设银行,全国,3.70%,不可赎回,10万
低风险,人民币,,,5.25 07:00,,乾元-共享型 2016-51理财产品,64天,非保本,建设银行,全国,3.50%,不可赎回,5万
无风险,人民币,,,6.2 09:00,,乾元保本型人民币理财产品2016年第20期,182天,保本,建设银行,全国,3.30%,不可赎回,5万
中等风险,人民币,,,6.7 07:00,,乾元-私享型2016-58理财产品,51天,非保本,建设银行,全国,3.70%,不可赎回,10万
低风险,人民币,,,6.7 07:00,,乾元-共享型2016-59理财产品,44天,非保本,建设银行,全国,3.60%,不可赎回,5万
低风险,人民币,,,6.2 07:00,,乾元-共享型 2016-58理财产品,121天,非保本,建设银行,全国,3.70%,不可赎回,5万
中等风险,人民币,,,5.5 07:00,,乾元-私享型2016-46理财产品,120天,非保本,建设银行,全国,3.70%,不可赎回,10万
中等风险,人民币,,,4.28 07:00,,乾元-私享型2016-42理财产品,126天,非保本,建设银行,全国,3.70%,不可赎回,10万
低风险,人民币,,,4.27 07:00,,乾元-共享型 2016-44理财产品,76天,非保本,建设银行,全国,3.40%,不可赎回,5万
低风险,人民币,,,5.11 07:00,,乾元-共享型 2016-48理财产品,86天,非保本,建设银行,全国,3.40%,不可赎回,5万
低风险,人民币,,,5.3 07:00,,乾元-共享型 2016-45理财产品,41天,非保本,建设银行,全国,3.20%,不可赎回,5万
中等风险,人民币,,,5.4 07:00,,乾元-私享型2016-45理财产品,58天,非保本,建设银行,全国,3.50%,不可赎回,10万
低风险,人民币,,,5.4 07:00,,乾元-共享型 2016-46理财产品,72天,非保本,建设银行,全国,3.40%,不可赎回,5万
低风险,人民币,,,4.27 07:00,,乾元-共享型 2016-43理财产品,56天,非保本,建设银行,全国,3.35%,不可赎回,5万
低风险,人民币,,,5.10 07:00,,乾元-共享型 2016-47理财产品,44天,非保本,建设银行,全国,3.30%,不可赎回,5万
中等风险,人民币,,,5.11 07:00,,乾元-私享型2016-47理财产品,65天,非保本,建设银行,全国,3.40%,不可赎回,10万
