fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
固定收益型,网上，手机，PAD，网点,,2016-06-03 10:00,招银进宝系列,,金葵花增利系列1200240号理财计划-无锡分行销售,155,4.15%,招商银行,,2016-11-16,,
固定收益型,网上，手机，PAD，网点,,2016-06-03 10:00,招银进宝系列,,鼎鼎成金16001号理财计划-南宁分行销售,126,4.05％,招商银行,,2016-10-18,,
固定收益型,网上，手机，PAD，网点,,2016-06-06 10:00,招银进宝系列,,私人增利系列117号理财计划,,4.05%,招商银行,,2016-09-08,,
固定收益型,网上，手机，PAD，网点,,2016-06-03 10:00,招银进宝系列,,金葵花增利系列259号,,,招商银行,,2016-08-12,,
固定收益型,网上，手机，PAD，网点,,2016-06-03 10:00,招银进宝系列,,金葵花增利系列260号,,,招商银行,,2016-08-26,,
固定收益型,网上，手机，PAD，网点,,2016-06-06 10:00,招银进宝系列,,金葵花增利系列200004号理财计划-广州分行销售,99,4.20%,招商银行,,2016-09-20,,
固定收益型,网上，手机，PAD，网点,,2016-06-06 10:00,招银进宝系列,,金葵花增利系列1200050号理财计划-宁波分行销售,151,4.20%,招商银行,,2016-11-11,,
固定收益型,网上，手机，PAD，网点,,2016-06-06 10:00,招银进宝系列,,私人增利系列116号理财计划,,4.15%,招商银行,,2016-11-24,,
固定收益型,网上，手机，PAD，网点,,2016-06-07 10:00,招银进宝系列,,睿享13期12号理财计划-广州分行销售,90,4.30%,招商银行,,2016-09-14,,
固定收益型,网上，手机，PAD，网点,,2016-06-07 10:00,招银进宝系列,,鼎鼎成金14772号理财计划-苏州分行销售,154,4.15％,招商银行,,2016-11-17,,
固定收益型,网上，手机，PAD，网点,,2016-06-07 10:00,招银进宝系列,,金葵花增利系列200047号理财计划-武汉分行销售,93,3.95%,招商银行,,2016-09-14,,
固定收益型,网上，手机，PAD，网点,,2016-06-07 10:00,招银进宝系列,,鼎鼎成金14946号理财计划-太原分行销售,142,4.30％,招商银行,,2016-11-04,,
固定收益型,网上，手机，PAD，网点,,2016-06-07 10:00,招银进宝系列,,金葵花增利系列200005号理财计划-广州分行销售,161,4.30%,招商银行,,2016-11-22,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,私人增利系列9000001号理财计划-北京分行销售,,4.2%,招商银行,,2016-09-02,,
固定收益型,网上，手机，PAD，网点,,2016-06-03 10:00,招银进宝系列,,鼎鼎成金16002号理财计划-南宁分行销售,174,4.15％,招商银行,,2016-12-05,,
固定收益型,网上，手机，PAD，网点,,2016-06-06 10:00,招银进宝系列,,鼎鼎成金16070号理财计划-长春分行销售,180,4.00％,招商银行,,2016-12-09,,
浮动收益型,网上，手机，PAD，网点,,2016-05-31 10:00,A009 结构性存款系列,,挂钩黄金两层区间十二个月结构性存款,,,招商银行,,2017-06-02,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,美元鼎鼎成金0417号理财计划,,2.05％,招商银行,,2017-06-08,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,美元鼎鼎成金0387号理财计划,,2.40％,招商银行,,2017-12-07,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,鼎鼎成金16068号理财计划-大连分行销售,,4.10％,招商银行,,2016-08-05,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,鼎鼎成金16000号理财计划-南宁分行销售,,4.20％,招商银行,,2016-12-01,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,鼎鼎成金14924号理财计划-昆明分行销售,70,4.20％,招商银行,,2016-08-12,,
浮动收益型,网上，手机，PAD，网点,,2016-05-31 10:00,A009 结构性存款系列,,挂钩黄金两层区间六个月结构性存款,,,招商银行,,2016-12-01,,
浮动收益型,网上，手机，PAD，网点,,2016-05-31 10:00,A009 结构性存款系列,,挂钩黄金两层区间三个月结构性存款,,,招商银行,,2016-08-31,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,鼎鼎成金14978号理财计划-重庆分行销售,,4.00％,招商银行,,2016-07-22,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,鼎鼎成金14979号理财计划-重庆分行销售,,4.00％,招商银行,,2016-08-12,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,金葵花增利系列200173号理财计划-上海分行销售,182,4.15%,招商银行,,2016-12-06,,
固定收益型,网上，手机，PAD，网点,,2016-05-31 10:00,招银进宝系列,,金葵花增利系列200022号理财计划-南京分行销售,,4.00%,招商银行,,2016-07-08,,
浮动收益型,网上，手机，PAD，网点,,2016-05-31 10:00,焦点联动系列,,黄金（AU9999）表现联动（黄金（AU9999）期间双向触碰型）非保本理财计划,,,招商银行,,2016-09-02,,
